Graph_Type,Graph_Name,Nodes,Algorithm,Clique_Size,Runtime_Seconds
Small,MANN_a9.adj,45,Bron-Kerbosch,16,0.8660964965820312
Small,MANN_a9.adj,45,Greedy,16,0.000865936279296875
Small,MANN_a9.adj,45,Local Search,16,0.007160663604736328
Small,MANN_a9.adj,45,Simulated Annealing,15,0.06962037086486816
Small,davis_southern_women.adj,32,Bron-Kerbosch,2,9.465217590332031e-05
Small,davis_southern_women.adj,32,Greedy,2,0.0003001689910888672
Small,davis_southern_women.adj,32,Local Search,2,0.0006670951843261719
Small,davis_southern_women.adj,32,Simulated Annealing,2,0.009567499160766602
Small,dolphins.graph.adj,38,Bron-Kerbosch,3,7.128715515136719e-05
Small,dolphins.graph.adj,38,Greedy,3,0.00040149688720703125
Small,dolphins.graph.adj,38,Local Search,3,0.0009453296661376953
Small,dolphins.graph.adj,38,Simulated Annealing,3,0.006918668746948242
Small,florentine_families.adj,15,Bron-Kerbosch,3,3.8623809814453125e-05
Small,florentine_families.adj,15,Greedy,3,6.937980651855469e-05
Small,florentine_families.adj,15,Local Search,3,9.393692016601562e-05
Small,florentine_families.adj,15,Simulated Annealing,3,0.006945371627807617
Small,karate.graph.adj,19,Bron-Kerbosch,3,3.7670135498046875e-05
Small,karate.graph.adj,19,Greedy,3,0.00010538101196289062
Small,karate.graph.adj,19,Local Search,3,0.0003268718719482422
Small,karate.graph.adj,19,Simulated Annealing,2,0.009006738662719727
Small,karate_club.adj,34,Bron-Kerbosch,5,9.965896606445312e-05
Small,karate_club.adj,34,Greedy,5,0.0003247261047363281
Small,karate_club.adj,34,Local Search,5,0.0008070468902587891
Small,karate_club.adj,34,Simulated Annealing,4,0.017102956771850586
Small,les_miserables.adj,77,Bron-Kerbosch,10,0.0003376007080078125
Small,les_miserables.adj,77,Greedy,10,0.0017485618591308594
Small,les_miserables.adj,77,Local Search,10,0.002012968063354492
Small,les_miserables.adj,77,Simulated Annealing,7,0.015204191207885742
Small,simulated_blockmodel_graph_100_nodes.adj,100,Bron-Kerbosch,2,0.00011754035949707031
Small,simulated_blockmodel_graph_100_nodes.adj,100,Greedy,2,0.0028772354125976562
Small,simulated_blockmodel_graph_100_nodes.adj,100,Local Search,2,0.006032466888427734
Small,simulated_blockmodel_graph_100_nodes.adj,100,Simulated Annealing,2,0.011719465255737305
Small,simulated_blockmodel_graph_50_nodes.adj,50,Bron-Kerbosch,6,0.0006487369537353516
Small,simulated_blockmodel_graph_50_nodes.adj,50,Greedy,6,0.0007307529449462891
Small,simulated_blockmodel_graph_50_nodes.adj,50,Local Search,6,0.0008623600006103516
Small,simulated_blockmodel_graph_50_nodes.adj,50,Simulated Annealing,5,0.020652294158935547
Small,simulated_blockmodel_graph_50_nodes.tar.adj,50,Bron-Kerbosch,6,0.000522613525390625
Small,simulated_blockmodel_graph_50_nodes.tar.adj,50,Greedy,6,0.0007257461547851562
Small,simulated_blockmodel_graph_50_nodes.tar.adj,50,Local Search,6,0.0008602142333984375
Small,simulated_blockmodel_graph_50_nodes.tar.adj,50,Simulated Annealing,5,0.020629167556762695
Medium,C125.9.adj,125,Greedy,31,0.008692264556884766
Medium,C125.9.adj,125,Local Search,31,0.037516117095947266
Medium,C125.9.adj,125,Simulated Annealing,29,0.23018956184387207
Medium,C250.9.adj,250,Greedy,40,0.0345156192779541
Medium,C250.9.adj,250,Local Search,40,0.7545030117034912
Medium,C250.9.adj,250,Simulated Annealing,36,0.4994642734527588
Medium,MANN_a27.adj,378,Greedy,125,0.26169848442077637
Medium,MANN_a27.adj,378,Local Search,125,2.6155905723571777
Medium,MANN_a27.adj,378,Simulated Annealing,118,2.6067919731140137
Medium,adjnoun.graph.adj,55,Greedy,3,0.0008363723754882812
Medium,adjnoun.graph.adj,55,Local Search,3,0.0019028186798095703
Medium,adjnoun.graph.adj,55,Simulated Annealing,2,0.0090179443359375
Medium,brock200_1.adj,200,Greedy,18,0.015255451202392578
Medium,brock200_1.adj,200,Local Search,18,0.044846296310424805
Medium,brock200_1.adj,200,Simulated Annealing,18,0.27227354049682617
Medium,brock200_2.adj,200,Greedy,10,0.02931833267211914
Medium,brock200_2.adj,200,Local Search,10,0.03577923774719238
Medium,brock200_2.adj,200,Simulated Annealing,8,0.40554237365722656
Medium,brock200_3.adj,200,Greedy,12,0.0337376594543457
Medium,brock200_3.adj,200,Local Search,12,0.03168344497680664
Medium,brock200_3.adj,200,Simulated Annealing,11,0.2486863136291504
Medium,brock200_4.adj,200,Greedy,14,0.014160633087158203
Medium,brock200_4.adj,200,Local Search,14,0.03315114974975586
Medium,brock200_4.adj,200,Simulated Annealing,13,0.2394726276397705
Medium,c-fat200-1.adj,200,Greedy,12,0.012250185012817383
Medium,c-fat200-1.adj,200,Local Search,12,0.012881040573120117
Medium,c-fat200-1.adj,200,Simulated Annealing,11,0.01747417449951172
Medium,c-fat200-2.adj,200,Greedy,24,0.012242794036865234
Medium,c-fat200-2.adj,200,Local Search,24,0.01451730728149414
Medium,c-fat200-2.adj,200,Simulated Annealing,21,0.029832839965820312
Medium,c-fat200-5.adj,200,Greedy,58,0.01921701431274414
Medium,c-fat200-5.adj,200,Local Search,58,0.024028778076171875
Medium,c-fat200-5.adj,200,Simulated Annealing,57,0.06552672386169434
Medium,gen200_p0.9_44.adj,200,Greedy,35,0.023757457733154297
Medium,gen200_p0.9_44.adj,200,Local Search,35,0.08349132537841797
Medium,gen200_p0.9_44.adj,200,Simulated Annealing,31,0.42603206634521484
Medium,gen200_p0.9_55.adj,200,Greedy,39,0.023489952087402344
Medium,gen200_p0.9_55.adj,200,Local Search,39,0.14570403099060059
Medium,gen200_p0.9_55.adj,200,Simulated Annealing,31,0.4604666233062744
Medium,johnson16-2-4.adj,120,Greedy,8,0.01179957389831543
Medium,johnson16-2-4.adj,120,Local Search,8,0.013081073760986328
Medium,johnson16-2-4.adj,120,Simulated Annealing,8,0.36980581283569336
Medium,keller4.adj,171,Greedy,11,0.02430105209350586
Medium,keller4.adj,171,Local Search,11,0.08260607719421387
Medium,keller4.adj,171,Simulated Annealing,10,0.2047746181488037
Medium,san200_0.7_1.adj,200,Greedy,16,0.015233039855957031
Medium,san200_0.7_1.adj,200,Local Search,16,0.052132606506347656
Medium,san200_0.7_1.adj,200,Simulated Annealing,14,0.2953150272369385
Medium,san200_0.7_2.adj,200,Greedy,13,0.015538454055786133
Medium,san200_0.7_2.adj,200,Local Search,13,0.05719733238220215
Medium,san200_0.7_2.adj,200,Simulated Annealing,12,0.3115234375
Medium,san200_0.9_1.adj,200,Greedy,46,0.02810359001159668
